meter_id,cadence,mape,median_mape,p95_ape,mbe_kwh,n_blocks,total_actual_kwh,total_predicted_kwh,under_5pct
65023781,tod_4h,3.912583435177623,2.7406249999999965,12.423194019095652,-0.11457622222222219,45,265.781,260.62507,True
65023784,dam_15min,8.68455361940208,6.156346749226008,24.956852791878163,-0.003327430167597769,716,243.59799999999998,241.21555999999998,False
65023784,hourly,7.346423210439454,4.795238095238099,19.6493168494206,-0.012599166666666687,180,243.59799999999998,241.33015,False
65023784,native_30min,8.68455361940208,6.156346749226008,24.932487309644653,-0.0066548603351955365,358,243.598,241.21556,False
65023784,tod_4h,6.307692934875903,4.340400471142513,19.478573806800906,-0.050396666666666756,45,243.598,241.33015,False
65024185,dam_15min,5.987659849092402,3.0023291925465916,21.212360936846483,0.006907458333333332,720,195.647,200.62037,False
65024185,hourly,5.081179947319274,3.526946778711484,17.573076091452624,0.02762983333333333,180,195.647,200.62037,False
65024185,native_30min,5.987659849092402,3.0023291925465916,21.212360936846515,0.013814916666666665,360,195.647,200.62037,False
65024185,tod_4h,4.4788858529193964,2.831665685697475,10.703329377845167,0.11051933333333319,45,195.647,200.62037,True
65024487,dam_15min,8.79466243242881,6.105590062111804,24.492402444659135,0.009545459610027857,718,129.357,136.21064,False
65024487,hourly,7.360767396954478,5.849731533702986,18.019608157077652,0.038075777777777785,180,129.357,136.21064,False
65024487,native_30min,8.79466243242881,6.105590062111804,24.488417272230855,0.019090919220055715,359,129.357,136.21064,False
65024487,tod_4h,6.108585042264702,5.31751694612916,12.363599314376977,0.1523031111111112,45,129.357,136.21064,False
65025443,dam_15min,5.642509928793229,2.860723061027815,20.326557205893923,0.007512277777777776,720,306.533,311.94184,False
65025443,hourly,4.172555076263921,2.366544342507657,13.255024851628283,0.030049111111111113,180,306.533,311.94184,True
65025443,native_30min,5.642509928793229,2.860723061027815,20.326557205893934,0.015024555555555551,360,306.533,311.94184,False
65025443,tod_4h,2.9624133370738814,2.00745749229393,8.208195039548125,0.12019644444444448,45,306.533,311.94184,True
65030697,dam_15min,8.517252213392888,5.910761670761669,28.053423705248512,-0.000800960451977401,708,125.515,124.94792,False
65030697,hourly,7.377575451351962,5.300096805421111,25.848710901919066,-0.003203841807909596,177,125.515,124.94792,False
65030697,native_30min,8.517252213392888,5.910761670761669,27.895133819951322,-0.001601920903954802,354,125.515,124.94792,False
65030697,tod_4h,7.083811774894517,5.176024500510426,16.18044444444445,-0.010009555555555561,45,125.515,125.06457,False
65041990,dam_15min,32.81596139974509,6.689267576022381,41.23529411764706,-0.015430064935064935,616,167.825,158.32008,False
65041990,hourly,12.508439835553018,4.563274336283194,28.396874499118425,-0.059177735849056605,159,167.825,158.41574,False
65041990,native_30min,32.81596139974509,6.689267576022381,40.07900955253889,-0.03086012987012987,308,167.825,158.32008,False
65041990,tod_4h,9.388147410993856,5.702226825479034,40.220770889487866,-0.215859534883721,43,167.825,158.54304,False
65044028,dam_15min,7.287682825695121,4.3646258503401505,19.761172435966103,-0.003984540389972145,718,383.739,380.8781,False
65044028,hourly,6.001785797753557,3.9949922467717576,16.854143955276008,-0.015893888888888905,180,383.739,380.8781,False
65044028,native_30min,7.287682825695121,4.3646258503401505,19.693316186189357,-0.00796908077994429,359,383.739,380.8781,False
65044028,tod_4h,3.681601283701874,2.2383265107888652,9.713683484593373,-0.06357555555555555,45,383.739,380.8781,True
65045250,dam_15min,2.8202059931966335,1.473214285714297,8.65024069478905,0.002609055555555556,720,206.408,208.28652,True
65045250,hourly,2.542332033989538,1.3843840893375956,6.377706888282987,0.010436222222222223,180,206.40800000000002,208.28652,True
65045250,native_30min,2.8202059931966335,1.473214285714297,8.650240694789094,0.005218111111111112,360,206.408,208.28652,True
65045250,tod_4h,2.21660392977501,1.254237288135593,6.11263313069004,0.04174488888888878,45,206.40800000000002,208.28652,True
65049719,dam_15min,20.3814626350513,14.972972972972977,51.56413612565442,0.02837362116991643,718,331.735,352.10726,False
65049719,hourly,18.484194887952185,12.2467255104373,49.75270109471678,0.11317922222222221,180,331.735,352.10726,False
65049719,native_30min,20.3814626350513,14.972972972972977,51.536649214659654,0.05674724233983286,359,331.735,352.10726,False
65049719,tod_4h,15.811917152677768,8.952341739577982,43.4076065654091,0.452716888888889,45,331.735,352.10726,False
67001151,dam_15min,8.869300785122467,4.060586701402674,29.305001040589087,-0.02313309192200562,718,3404.19752,3387.58796,False
67001151,hourly,8.44125108626821,2.9425194733860396,28.935521885167024,-0.0922753333333337,180,3404.19752,3387.58796,False
67001151,native_30min,8.869300785122467,4.060586701402674,29.298775511443274,-0.04626618384401124,359,3404.19752,3387.58796,False
67001151,tod_4h,6.004404435511256,1.254208312261076,25.124102172023704,-0.3691013333333353,45,3404.19752,3387.58796,False
67001818,dam_15min,4.6543729998503744,2.151449129963063,17.176995251742287,0.0037782319444444523,720,2485.778303,2488.49863,True
67001818,hourly,3.6523581059040793,2.1776145474610575,10.324132775630778,0.015112927777777672,180,2485.778303,2488.49863,True
67001818,native_30min,4.6543729998503744,2.151449129963063,17.176995251742348,0.0075564638888889046,360,2485.778303,2488.49863,True
67001818,tod_4h,4.039696302014617,2.056499686380627,17.438637352904298,0.060451711111112416,45,2485.778303,2488.49863,True
67003234,dam_15min,11.035242477901043,5.270365400113474,33.79608515588854,-0.02047178055555559,720,3575.072122,3560.33244,False
67003234,hourly,10.099199457688815,5.317178038701613,31.281902290536035,-0.08188712222222232,180,3575.072122,3560.33244,False
67003234,native_30min,11.035242477901043,5.270365400113474,33.796085155888555,-0.04094356111111118,360,3575.072122,3560.33244,False
67003234,tod_4h,7.063328764140011,3.043742593486863,20.167105501245647,-0.32754848888888694,45,3575.072122,3560.33244,False
67003309,dam_15min,13.105607329994482,2.3047327657884313,18.54003130588468,0.03637313098591547,710,2809.057187,2834.88211,False
67003309,hourly,4.727746311196052,2.2367872026249302,16.004879920491458,0.16442647752808956,178,2809.057187,2838.3251,True
67003309,native_30min,13.105607329994482,2.3047327657884313,17.751699593890653,0.07274626197183094,355,2809.057187,2834.88211,False
67003309,tod_4h,3.9582704515397404,1.802136725840131,13.428156548106744,0.7707831777777773,45,2809.057187,2843.74243,True
67003694,dam_15min,5.808104156242762,2.5525699052624846,26.672332209018087,0.02617265833333332,720,2198.580486,2217.4248,False
67003694,hourly,4.796337369186069,2.4524114471978646,20.918305190213626,0.10469063333333331,180,2198.580486,2217.4248000000002,True
67003694,native_30min,5.808104156242762,2.5525699052624846,26.672332209018098,0.05234531666666664,360,2198.580486,2217.4248,False
67003694,tod_4h,3.3451209069557177,2.14201097641436,10.220085094402119,0.4187625333333334,45,2198.580486,2217.4248,True
